sess,conc,lvl,notch_abs,dnotch
1,0,,-16.124925388932784,-0.09866936956578343
1,0,,-16.132932251065256,-0.10667623169825546
1,0,,-15.926594120120914,0.0996618992460867
1,0,,-15.920639775122215,0.10561624424478566
1,0,,-15.921836783678716,0.10441923568828493
1,0,,-16.130607797282124,-0.10435177791512373
1,100,1.0,-16.222611273630424,-0.19635525426342326
1,100,1.0,-16.21663704186452,-0.19038102249751887
1,100,1.0,-16.23083586553651,-0.20457984616950853
1,110,1.0,-16.24790850054182,-0.22165248117481795
1,110,1.0,-16.238897039499186,-0.21264102013218533
1,110,1.0,-16.243429690790432,-0.21717367142343136
1,120,,-16.26924431312085,-0.24298829375385012
1,120,,-16.210580273286293,-0.18432425391929286
1,120,,-16.23315577480219,-0.20689975543518813
1,125,2.0,-16.27532824534818,-0.2490722259811804
1,125,2.0,-16.271687906791723,-0.2454318874247221
1,125,2.0,-16.260586884819332,-0.23433086545233195
1,145,2.0,-16.270467778148593,-0.24421175878159218
1,145,2.0,-16.281328478219457,-0.25507245885245666
1,145,2.0,-16.286068159526966,-0.25981214015996557
1,165,2.0,-16.272904696140692,-0.24664867677369173
1,165,2.0,-16.319607428354793,-0.29335140898779244
1,165,2.0,-16.26431714756517,-0.2380611281981686
1,185,2.0,-16.272904696140692,-0.24664867677369173
1,185,2.0,-16.271687906791723,-0.2454318874247221
1,185,2.0,-16.289587506310422,-0.26333148694342157
1,200,2.0,-16.28013514488658,-0.25387912551957825
1,200,2.0,-16.331982043963343,-0.3057260245963427
1,200,2.0,-16.331982043963343,-0.3057260245963427
1,220,3.0,-16.3056074255527,-0.2793514061857003
1,220,3.0,-16.349907515889964,-0.3236514965229631
1,220,3.0,-16.32335522661676,-0.297099207249758
1,240,3.0,-16.327072706223056,-0.3008166868560558
1,240,3.0,-16.354557583060288,-0.32830156369328733
1,240,3.0,-16.352239427225694,-0.3259834078586934
1,260,3.0,-16.339244304651032,-0.3129882852840318
1,260,3.0,-16.330759786490006,-0.30450376712300553
1,260,3.0,-16.331982043963343,-0.3057260245963427
1,280,3.0,-16.33320091186134,-0.3069448924943394
1,280,3.0,-16.339244304651032,-0.3129882852840318
1,280,3.0,-16.354557583060288,-0.32830156369328733
1,300,3.0,-16.340442773343153,-0.31418675397615203
1,300,3.0,-16.354557583060288,-0.32830156369328733
1,300,3.0,-16.35571149556498,-0.3294554761979782
1,45,0.0,-16.26431418328226,-0.2380581639152588
1,45,0.0,-16.272409874421307,-0.2461538550543061
1,45,0.0,-16.165465772282193,-0.13920975291519255
1,45,0.0,-16.18614133986617,-0.15988532049917126
1,45,0.0,-16.12811526502602,-0.10185924565902127
1,45,0.0,-16.2558249914123,-0.2295689720452998
1,50,0.0,-16.29768080784853,-0.2714247884815286
1,50,0.0,-16.290589094857026,-0.2643330754900255
1,50,0.0,-16.17247622348944,-0.1462202041224394
1,50,0.0,-16.14552996913092,-0.11927394976391881
1,50,0.0,-16.164285893848923,-0.13802987448192283
1,50,0.0,-16.278594711035392,-0.25233869166839185
1,55,0.0,-16.174786758103142,-0.14853073873614164
1,55,0.0,-16.188372488324156,-0.16211646895715504
1,55,0.0,-16.196076590623377,-0.16982057125637695
1,60,0.0,-16.17015253312238,-0.14389651375537937
1,60,0.0,-16.183896907105755,-0.1576408877387543
1,60,0.0,-16.13692808434618,-0.11067206497918036
1,65,0.0,-16.17015253312238,-0.14389651375537937
1,65,0.0,-16.16898576132906,-0.14272974196206079
1,65,0.0,-16.23315577480219,-0.20689975543518813
1,70,1.0,-16.220231507994704,-0.19397548862770364
1,70,1.0,-16.22142304720316,-0.1951670278361597
1,70,1.0,-16.237755484202196,-0.211499464835196
1,80,1.0,-16.227330995433817,-0.2010749760668169
1,80,1.0,-16.22142304720316,-0.1951670278361597
1,80,1.0,-16.197163819059355,-0.1709077996923547
1,90,1.0,-16.22379618446728,-0.1975401651002784
1,90,1.0,-16.229670906896306,-0.2034148875293056
1,90,1.0,-16.229670906896306,-0.2034148875293056
2,0,,-16.032078706809262,-0.004826206836742841
2,0,,-16.051126672031234,-0.023874172058715004
2,0,,-15.998552121077058,0.028700378895461398
2,100,1.0,-16.227330995433817,-0.2000784954612982
2,100,1.0,-16.2354623216769,-0.2082098217043793
2,100,1.0,-16.241170084547658,-0.21391758457513887
2,110,1.0,-16.22379618446728,-0.19654368449475967
2,110,1.0,-16.23661057735172,-0.20935807737919987
2,110,1.0,-16.245675836622617,-0.2184233366500976
2,120,,-16.23083586553651,-0.20358336556398982
2,120,,-16.24679385516122,-0.21954135518869933
2,120,,-16.25233329714792,-0.22508079717540141
2,125,2.0,-16.304485292588247,-0.2772327926157274
2,125,2.0,-16.259946211862296,-0.23269371188977672
2,125,2.0,-16.261020172824963,-0.23376767285244426
2,145,2.0,-16.294232604848034,-0.2669801048755147
2,145,2.0,-16.2907538612625,-0.26350136128997903
2,145,2.0,-16.288417769158336,-0.26116526918581684
2,165,2.0,-16.281328478219457,-0.25407597824693795
2,165,2.0,-16.276534999417905,-0.2492824994453855
2,165,2.0,-16.282518449201184,-0.2552659492286651
2,185,2.0,-16.291916831204308,-0.26466433123178845
2,185,2.0,-16.294232604848034,-0.2669801048755147
2,185,2.0,-16.288417769158336,-0.26116526918581684
2,200,2.0,-16.26431714756517,-0.2370646475926499
